1|2001|1|CA
2|2002|2|TX
3|2001|3|NY
4|2002|4|FL
5|2001|5|IL
6|2002|6|CA
7|2001|7|TX
8|2002|8|NY
9|2001|9|FL
10|2002|10|IL
1|2001|11|CA
2|2002|12|TX
3|2001|1|NY
4|2002|2|FL
5|2001|3|IL
6|2002|4|CA
7|2001|5|TX
8|2002|6|NY
9|2001|7|FL
10|2002|8|IL
1|2001|9|CA
2|2002|10|TX
3|2001|11|NY
4|2002|12|FL
5|2001|1|IL
6|2002|2|CA
7|2001|3|TX
8|2002|4|NY
9|2001|5|FL
10|2002|6|IL
1|2001|7|CA
2|2002|8|TX
3|2001|9|NY
4|2002|10|FL
5|2001|11|IL
6|2002|12|CA
7|2001|1|TX
8|2002|2|NY
9|2001|3|FL
10|2002|4|IL
1|2001|5|CA
2|2002|6|TX
3|2001|7|NY
4|2002|8|FL
5|2001|9|IL
6|2002|10|CA
7|2001|11|TX
8|2002|12|NY
9|2001|1|FL
10|2002|2|IL
1|2001|3|CA
2|2002|4|TX
3|2001|5|NY
4|2002|6|FL
5|2001|7|IL
6|2002|8|CA
7|2001|9|TX
8|2002|10|NY
9|2001|11|FL
10|2002|12|IL
1|2001|1|CA
2|2002|2|TX
3|2001|3|NY
4|2002|4|FL
5|2001|5|IL
6|2002|6|CA
7|2001|7|TX
8|2002|8|NY
9|2001|9|FL
10|2002|10|IL
1|2001|11|CA
2|2002|12|TX
3|2001|1|NY
4|2002|2|FL
5|2001|3|IL
6|2002|4|CA
7|2001|5|TX
8|2002|6|NY
9|2001|7|FL
10|2002|8|IL
1|2001|9|CA
2|2002|10|TX
3|2001|11|NY
4|2002|12|FL
5|2001|1|IL
6|2002|2|CA
7|2001|3|TX
8|2002|4|NY
9|2001|5|FL
10|2002|6|IL
1|2001|7|CA
2|2002|8|TX
3|2001|9|NY
4|2002|10|FL
5|2001|11|IL
6|2002|12|CA
7|2001|1|TX
8|2002|2|NY
9|2001|3|FL
10|2002|4|IL
